subject_id,site,scan_label,t1_path,size_bytes
CMU_50642,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50642/scans/anat/resources/NIfTI/files/mprage.nii.gz,5534369
CMU_50643,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50643/scans/anat/resources/NIfTI/files/mprage.nii.gz,5625335
CMU_50644,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50644/scans/anat/resources/NIfTI/files/mprage.nii.gz,5876572
CMU_50645,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50645/scans/anat/resources/NIfTI/files/mprage.nii.gz,5266718
CMU_50646,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50646/scans/anat/resources/NIfTI/files/mprage.nii.gz,6093389
CMU_50647,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50647/scans/anat/resources/NIfTI/files/mprage.nii.gz,5069103
CMU_50648,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50648/scans/anat/resources/NIfTI/files/mprage.nii.gz,4968118
CMU_50649,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50649/scans/anat/resources/NIfTI/files/mprage.nii.gz,5769448
CMU_50650,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50650/scans/anat/resources/NIfTI/files/mprage.nii.gz,3990703
CMU_50651,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50651/scans/anat/resources/NIfTI/files/mprage.nii.gz,6465933
CMU_50652,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50652/scans/anat/resources/NIfTI/files/mprage.nii.gz,5972488
CMU_50653,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50653/scans/anat/resources/NIfTI/files/mprage.nii.gz,6395312
CMU_50654,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50654/scans/anat/resources/NIfTI/files/mprage.nii.gz,5663007
CMU_50655,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50655/scans/anat/resources/NIfTI/files/mprage.nii.gz,7349604
CMU_50656,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50656/scans/anat/resources/NIfTI/files/mprage.nii.gz,4973039
CMU_50657,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50657/scans/anat/resources/NIfTI/files/mprage.nii.gz,6360231
CMU_50658,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50658/scans/anat/resources/NIfTI/files/mprage.nii.gz,6202857
CMU_50659,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50659/scans/anat/resources/NIfTI/files/mprage.nii.gz,6678299
CMU_50660,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50660/scans/anat/resources/NIfTI/files/mprage.nii.gz,5571634
CMU_50661,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50661/scans/anat/resources/NIfTI/files/mprage.nii.gz,5036945
CMU_50663,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50663/scans/anat/resources/NIfTI/files/mprage.nii.gz,6158259
CMU_50664,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50664/scans/anat/resources/NIfTI/files/mprage.nii.gz,5429280
CMU_50665,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50665/scans/anat/resources/NIfTI/files/mprage.nii.gz,5138603
CMU_50666,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50666/scans/anat/resources/NIfTI/files/mprage.nii.gz,6737554
CMU_50667,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50667/scans/anat/resources/NIfTI/files/mprage.nii.gz,5956959
CMU_50668,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50668/scans/anat/resources/NIfTI/files/mprage.nii.gz,5331777
CMU_50669,CMU,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/CMU_50669/scans/anat/resources/NIfTI/files/mprage.nii.gz,5512564
Caltech_51456,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51456/scans/anat/resources/NIfTI/files/mprage.nii.gz,6592426
Caltech_51457,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51457/scans/anat/resources/NIfTI/files/mprage.nii.gz,7198001
Caltech_51458,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51458/scans/anat/resources/NIfTI/files/mprage.nii.gz,6474581
Caltech_51459,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51459/scans/anat/resources/NIfTI/files/mprage.nii.gz,5960510
Caltech_51460,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51460/scans/anat/resources/NIfTI/files/mprage.nii.gz,5732892
Caltech_51461,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51461/scans/anat/resources/NIfTI/files/mprage.nii.gz,7255617
Caltech_51462,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51462/scans/anat/resources/NIfTI/files/mprage.nii.gz,6811524
Caltech_51463,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51463/scans/anat/resources/NIfTI/files/mprage.nii.gz,6337398
Caltech_51464,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51464/scans/anat/resources/NIfTI/files/mprage.nii.gz,8323285
Caltech_51465,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51465/scans/anat/resources/NIfTI/files/mprage.nii.gz,6856694
Caltech_51466,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51466/scans/anat/resources/NIfTI/files/mprage.nii.gz,6259336
Caltech_51467,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51467/scans/anat/resources/NIfTI/files/mprage.nii.gz,6624733
Caltech_51468,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51468/scans/anat/resources/NIfTI/files/mprage.nii.gz,7145017
Caltech_51469,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51469/scans/anat/resources/NIfTI/files/mprage.nii.gz,6914600
Caltech_51470,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51470/scans/anat/resources/NIfTI/files/mprage.nii.gz,7132599
Caltech_51471,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51471/scans/anat/resources/NIfTI/files/mprage.nii.gz,5139272
Caltech_51472,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51472/scans/anat/resources/NIfTI/files/mprage.nii.gz,7129943
Caltech_51473,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51473/scans/anat/resources/NIfTI/files/mprage.nii.gz,6285385
Caltech_51474,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51474/scans/anat/resources/NIfTI/files/mprage.nii.gz,6608428
Caltech_51475,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51475/scans/anat/resources/NIfTI/files/mprage.nii.gz,6759142
Caltech_51476,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51476/scans/anat/resources/NIfTI/files/mprage.nii.gz,6620966
Caltech_51477,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51477/scans/anat/resources/NIfTI/files/mprage.nii.gz,5528978
Caltech_51478,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51478/scans/anat/resources/NIfTI/files/mprage.nii.gz,6179307
Caltech_51479,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51479/scans/anat/resources/NIfTI/files/mprage.nii.gz,5491345
Caltech_51480,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51480/scans/anat/resources/NIfTI/files/mprage.nii.gz,5136338
Caltech_51481,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51481/scans/anat/resources/NIfTI/files/mprage.nii.gz,6138324
Caltech_51482,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51482/scans/anat/resources/NIfTI/files/mprage.nii.gz,5704417
Caltech_51483,Caltech,anat,/Users/apple/PycharmProjects/HarmonIt/data/ABIDE/Caltech_51483/scans/anat/resources/NIfTI/files/mprage.nii.gz,6367679
