subject_id,site,split,scan_label,voxel_mm,matrix,min_voxel_mm,max_voxel_mm
CMU_50642,CMU,train,anat,1 x 1 x 1,170 x 217 x 151,1.0,1.0
CMU_50643,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50644,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50645,CMU,train,anat,1 x 1 x 1,171 x 218 x 147,1.0,1.0
CMU_50646,CMU,train,anat,1 x 1 x 1,173 x 228 x 200,1.0,1.0
CMU_50647,CMU,train,anat,1 x 1 x 1,169 x 215 x 200,1.0,1.0
CMU_50648,CMU,test,anat,1 x 1 x 1,161 x 200 x 200,1.0,1.0
CMU_50649,CMU,val,anat,1 x 1 x 1,173 x 218 x 200,1.0,1.0
CMU_50650,CMU,train,anat,1 x 1 x 1,164 x 204 x 126,1.0,1.0
CMU_50651,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50652,CMU,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50653,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50654,CMU,train,anat,1 x 1 x 1,168 x 213 x 200,1.0,1.0
CMU_50655,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50656,CMU,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50657,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50658,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50659,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50660,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50661,CMU,test,anat,1 x 1 x 1,169 x 194 x 155,1.0,1.0
CMU_50663,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50664,CMU,train,anat,1 x 1 x 1,168 x 218 x 200,1.0,1.0
CMU_50665,CMU,train,anat,1 x 1 x 1,171 x 209 x 200,1.0,1.0
CMU_50666,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50667,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
CMU_50668,CMU,train,anat,1 x 1 x 1,168 x 215 x 200,1.0,1.0
CMU_50669,CMU,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51456,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51457,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51458,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51459,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51460,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51461,Caltech,train,anat,1 x 0.973 x 0.973,176 x 240 x 256,0.973,1.0
Caltech_51462,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51463,Caltech,test,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51464,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51465,Caltech,train,anat,1 x 1 x 0.9,256 x 224 x 176,0.9,1.0
Caltech_51466,Caltech,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51467,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51468,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51469,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51470,Caltech,test,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51471,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51472,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51473,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51474,Caltech,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51475,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51476,Caltech,test,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51477,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51478,Caltech,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51479,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51480,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51481,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51482,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51483,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51484,Caltech,test,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51485,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51486,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51487,Caltech,val,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51488,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51489,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51490,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51491,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51492,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
Caltech_51493,Caltech,train,anat,1 x 1 x 1,176 x 256 x 256,1.0,1.0
KKI_50772,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50773,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50774,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50775,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50776,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50777,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50778,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50779,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50780,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50781,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50782,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50783,KKI,train,anat,1 x 1 x 1,256 x 190 x 256,1.0,1.0
KKI_50784,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50785,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50786,KKI,test,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50787,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50788,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50789,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50790,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50791,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50792,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50793,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50794,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50795,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50796,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50797,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50798,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50799,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50800,KKI,test,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50801,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50802,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50803,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50804,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50805,KKI,train,anat,1 x 1 x 1,256 x 190 x 256,1.0,1.0
KKI_50806,KKI,train,anat,1 x 1 x 1,256 x 170 x 256,1.0,1.0
KKI_50807,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50808,KKI,train,anat,1 x 1 x 1,256 x 190 x 256,1.0,1.0
KKI_50809,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50810,KKI,test,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50811,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50812,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50813,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50814,KKI,test,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50815,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50816,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50817,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50818,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50819,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50820,KKI,train,anat,1 x 1 x 1,256 x 180 x 256,1.0,1.0
KKI_50821,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50822,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50823,KKI,test,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50824,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50825,KKI,train,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
KKI_50826,KKI,val,anat,1 x 1 x 1,256 x 200 x 256,1.0,1.0
Leuven_50682,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50683,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50685,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50686,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50687,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50688,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50689,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
