run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,psnr,20.149564020744116,20.028988330937285,20.264702044177877,20.149564020744116
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,mse,0.010793509984457324,0.010569763961577975,0.011041418173811364,0.010793509984457324
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,mae,0.07188431861410104,0.07111944798048941,0.07272532459834505,0.07188431861410104
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,pixel_cosine_similarity,0.9721074238561942,0.9706055581223679,0.9735682120300666,0.9721074238561942
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,cross_correlation,0.9479393658101283,0.9450031489201852,0.950716122202708,0.9479393658101283
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,subject_wasserstein_raw_harm,0.05491698464193105,0.054038365123409766,0.05581680508757751,0.05491698464193105
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,subject_kl_raw_harm,0.5163610061843112,0.4810686252843297,0.5506963875100961,0.5163610061843112
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,raw_site_ba,0.9509803921568626,0.9019607843137254,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,harmonized_site_ba,0.3068225376274911,0.2579107360647608,0.35064935064935066,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,all,109,0,site_ba_drop,0.6441578545293715,0.5752317793145967,0.7132338030906142,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,psnr,20.00050825630836,19.87364476210762,20.111304675850178,20.00050825630836
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,mse,0.011303718320274513,0.011064490078819166,0.011585843093568613,0.011303718320274513
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,mae,0.07350222612638696,0.07276486031134115,0.07431638963507904,0.07350222612638696
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,pixel_cosine_similarity,0.9677366554698371,0.9658844560632198,0.9694012012161257,0.9677366554698371
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,cross_correlation,0.939899604669588,0.9364155757871552,0.9431460308943767,0.939899604669588
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,subject_wasserstein_raw_harm,0.054689302898917574,0.053801709300011255,0.05558872196885672,0.054689302898917574
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,subject_kl_raw_harm,0.4751126155540632,0.4397573378918559,0.5085711407630382,0.4751126155540632
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,raw_site_ba,0.9479166666666666,0.8958333333333333,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,harmonized_site_ba,0.2667884199134199,0.212052895021645,0.31785714285714284,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,source_non_nyu,90,0,site_ba_drop,0.6811282467532467,0.6056547619047619,0.7583421266233766,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,psnr,20.85561764175557,20.50406435961675,21.258384732190347,20.85561764175557
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,mse,0.00837673365690224,0.007684637785694843,0.00904056703083766,0.00837673365690224
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,mae,0.06422054618748352,0.061179590578983374,0.06707423697771715,0.06422054618748352
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,pixel_cosine_similarity,0.9928110635810443,0.9922528167947343,0.9933469379340282,0.9928110635810443
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,cross_correlation,0.9860224448968972,0.9845613844186301,0.987278438543053,0.9860224448968972
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,neurocombat,target_nyu,19,0,subject_wasserstein_raw_harm,0.05599547710883692,0.05334351644342431,0.05848168508890096,0.05599547710883692
