method,frozen,seed1_best,seed1_last,seed2_best,seed2_last,seed3_best,seed3_last,seed42_best,seed4_best,seed4_last
adapted_hcld,0.0681818181818181,0.0681818181818181,0.0681818181818181,0.0738636363636363,0.096590909090909,0.0625,0.0625,0.090625,0.1106060606060606,0.1106060606060606
cyclegan_tuned,0.3074810606060606,0.3071969696969697,0.3071969696969697,0.1967261904761904,0.7079274891774892,0.203125,0.203125,0.5878787878787879,0.1291666666666666,0.1291666666666666
diffusion_20k,0.3708333333333333,0.4118777056277056,0.4118777056277056,0.443465909090909,0.6333739177489177,0.3996212121212121,0.3996212121212121,0.6297348484848484,0.2390151515151515,0.2390151515151515
diffusion_20k_redraw,0.3494047619047619,0.3978625541125541,0.3978625541125541,0.3982007575757575,0.6777191558441558,0.3808712121212121,0.3808712121212121,0.6178030303030302,0.303030303030303,0.303030303030303
dlest_1000,0.7083333333333333,0.8885416666666667,0.8885416666666667,0.7589015151515152,0.8791666666666667,0.8568181818181817,0.8568181818181817,0.8479166666666667,0.8374999999999999,0.8374999999999999
dlest_1500,0.6666666666666666,0.7431547619047618,0.7431547619047618,0.6512310606060606,0.821590909090909,0.8183712121212121,0.8183712121212121,0.7886363636363636,0.6610795454545455,0.6610795454545455
histogram_matching,0.4442640692640692,0.3892180735930736,0.3892180735930736,0.4336309523809523,0.3583333333333333,0.5212797619047619,0.5212797619047619,0.5926136363636364,0.2677083333333333,0.2677083333333333
neurocombat,0.2667884199134199,0.3718479437229437,0.3718479437229437,0.3446158008658009,0.234375,0.3591991341991342,0.3591991341991342,0.2616341991341991,0.3328598484848485,0.3328598484848485
stargan_aggressive,0.2089285714285714,0.3041666666666666,0.3041666666666666,0.2796130952380952,0.5395292207792208,0.5425865800865801,0.5425865800865801,0.4409226190476191,0.1782738095238095,0.1782738095238095
stargan_conservative,0.8291666666666666,0.7905979437229438,0.7905979437229438,0.8068181818181818,0.8329545454545455,0.8887310606060606,0.8887310606060606,0.7450757575757575,0.6575757575757576,0.6575757575757576
