row_idx,subject_id,site_id,slice_idx,method,split
0,CMU_50642,0,61,histogram_matching,train
1,CMU_50643,0,128,histogram_matching,train
2,CMU_50644,0,99,histogram_matching,train
3,CMU_50645,0,61,histogram_matching,train
4,CMU_50646,0,116,histogram_matching,train
5,CMU_50647,0,122,histogram_matching,train
6,CMU_50650,0,52,histogram_matching,train
7,CMU_50651,0,130,histogram_matching,train
8,CMU_50653,0,151,histogram_matching,train
9,CMU_50654,0,102,histogram_matching,train
10,CMU_50655,0,125,histogram_matching,train
11,CMU_50657,0,130,histogram_matching,train
12,CMU_50658,0,151,histogram_matching,train
13,CMU_50659,0,151,histogram_matching,train
14,CMU_50660,0,152,histogram_matching,train
15,CMU_50663,0,124,histogram_matching,train
16,CMU_50664,0,117,histogram_matching,train
17,CMU_50665,0,116,histogram_matching,train
18,CMU_50666,0,130,histogram_matching,train
19,CMU_50667,0,153,histogram_matching,train
20,CMU_50668,0,117,histogram_matching,train
21,CMU_50669,0,150,histogram_matching,train
22,Caltech_51456,1,150,histogram_matching,train
23,Caltech_51457,1,150,histogram_matching,train
24,Caltech_51458,1,130,histogram_matching,train
25,Caltech_51459,1,153,histogram_matching,train
26,Caltech_51460,1,156,histogram_matching,train
27,Caltech_51461,1,99,histogram_matching,train
28,Caltech_51462,1,126,histogram_matching,train
29,Caltech_51464,1,104,histogram_matching,train
30,Caltech_51465,1,69,histogram_matching,train
31,Caltech_51467,1,150,histogram_matching,train
32,Caltech_51468,1,130,histogram_matching,train
33,Caltech_51469,1,130,histogram_matching,train
34,Caltech_51471,1,156,histogram_matching,train
35,Caltech_51472,1,150,histogram_matching,train
36,Caltech_51473,1,130,histogram_matching,train
37,Caltech_51475,1,150,histogram_matching,train
38,Caltech_51477,1,152,histogram_matching,train
39,Caltech_51479,1,154,histogram_matching,train
40,Caltech_51480,1,156,histogram_matching,train
41,Caltech_51481,1,155,histogram_matching,train
42,Caltech_51482,1,126,histogram_matching,train
43,Caltech_51483,1,150,histogram_matching,train
44,Caltech_51485,1,151,histogram_matching,train
