subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,5,0,7.333597567426842,0.18477373736906377,0.33455210511372696,0.7425373700828823,0.5056783112920241,0.24574434606561812,11.028446603036107,False,False,0.0,0.0
CMU_50661,0,58,13,15,7.609764451383524,0.17338980367588244,0.3197703614311488,0.7521521295550087,0.5431578637944404,0.2456597490688589,10.38144871527289,False,False,0.0,0.0
Caltech_51463,1,124,5,4,10.084296270639959,0.098077722626802,0.201245609130409,0.7532243344998008,0.668005063397438,0.16713806084857075,8.768757941657809,False,False,0.0,0.0
Caltech_51470,1,150,5,14,9.718710147225485,0.10669129468733855,0.2345433223846886,0.8934542414226211,0.7949615354847304,0.20056802304338145,9.430597579420333,False,False,0.0,0.0
Caltech_51476,1,150,13,14,9.848215315864095,0.10355676340791681,0.21984706368227133,0.8765483730589277,0.781046378577136,0.18071091643225198,8.404011022102305,False,False,0.0,0.0
Caltech_51484,1,151,5,10,9.849205340298905,0.10353315913809777,0.21861142095168173,0.864115544320969,0.7682731772153227,0.18022403760972605,9.246317106289487,False,False,0.0,0.0
KKI_50786,2,124,13,2,6.332494500287139,0.2326754432759792,0.3428225667081106,0.7807511658067702,0.6023710815775394,0.2940096414980493,8.469684780438772,False,False,0.0,0.0
KKI_50800,2,125,13,2,7.13301556256156,0.19350778587438242,0.32443005688826726,0.8446078497589119,0.6942575880262408,0.2836922072148156,9.188200725399152,False,False,0.0,0.0
KKI_50810,2,124,13,2,6.523736962457893,0.2226518478195259,0.341298565110295,0.7895777404875333,0.607772004410591,0.29144574368013065,8.778338019676807,False,False,0.0,0.0
KKI_50814,2,127,13,3,7.469770895718453,0.17907003167341376,0.3026447636831875,0.8742850317530526,0.7585125867793902,0.27279551192869606,8.667487433367434,False,False,0.0,0.0
KKI_50823,2,105,13,11,7.118314466240444,0.19416392980766273,0.3049832343961678,0.6981641237666156,0.5052683900087556,0.2467599045147106,8.680822854412865,False,False,0.0,0.0
Leuven_50690,3,130,13,3,9.586678461005443,0.10998466944724732,0.21703367104995003,0.8285555335669619,0.7318878634588066,0.18137000998213487,7.690055503172307,False,False,0.0,0.0
Leuven_50697,3,124,13,3,9.105555447155817,0.12286960306879721,0.23092812869529486,0.7096624118637106,0.5854697491383667,0.17484591845587077,7.834504371322452,False,False,0.0,0.0
Leuven_50703,3,127,3,3,8.98950632374398,0.1261970978665089,0.23197109373960312,0.7673435062773157,0.6499169026715536,0.18203599620541477,7.923144085624216,False,False,0.0,0.0
Leuven_50711,3,151,13,3,9.379875453488673,0.11534863369057131,0.21363044449432408,0.8737848615778865,0.7872844632826471,0.18788158552232997,7.550842396615607,False,False,0.0,0.0
Leuven_50732,3,151,13,3,9.584540610304225,0.11003882364320071,0.20795122180712877,0.8755117866859427,0.7918743517288238,0.1808020627387138,7.483496675153928,False,False,0.0,0.0
Leuven_50736,3,130,13,11,10.368672495613808,0.0918613345362236,0.18632356711955328,0.8151914190578647,0.7385358932443536,0.15345687332833297,6.8882568204686345,False,False,0.0,0.0
Leuven_50745,3,150,13,15,9.724576445791254,0.10654727709216727,0.1986538273769542,0.8735045253561922,0.796701665965536,0.17582212477655498,6.835008018175811,False,False,0.0,0.0
MaxMun_51332,4,150,5,16,8.55037404898882,0.13962480998730015,0.2905858329964055,0.8718910699466579,0.7227983736473588,0.24368297245458528,10.28594147836884,False,False,0.0,0.0
MaxMun_51347,4,130,5,4,8.770368943712217,0.1327281697135772,0.2655457741938698,0.7645935161522726,0.6248692241656141,0.2076665484467548,11.658059291557251,False,False,0.0,0.0
MaxMun_51357,4,129,5,12,8.680047821860278,0.13551744899136994,0.2730399073096178,0.7828091558809233,0.6360357180260424,0.2184444178172326,11.308399213376859,False,False,0.0,0.0
MaxMun_51361,4,129,5,12,10.081572851519349,0.09813924551594558,0.23025806952275235,0.8732419840434558,0.7794856481855594,0.2007342661971923,11.872115457571324,False,False,0.0,0.0
MaxMun_51370,4,130,5,6,7.98645348966743,0.15898445082144128,0.3077125864389383,0.776810792321634,0.5937490719730032,0.24417568296759343,11.438914529883036,False,False,0.0,0.0
NYU_50953,5,104,5,5,10.478152034262699,0.08957458331323123,0.19018050551148896,0.8674167831850729,0.7918109984957854,0.15914681468707365,9.262051845398657,False,False,0.0,0.0
NYU_50967,5,105,5,5,9.891907659083705,0.10252015027170044,0.20298340826420289,0.8593126341977113,0.7865376208625767,0.17794658098441152,8.966800763654916,False,False,0.0,0.0
NYU_50973,5,124,5,5,9.303940864919278,0.11738319156871053,0.23617415575952316,0.819474054783487,0.6995906039700504,0.18216980848037645,10.903425041932868,False,False,0.0,0.0
NYU_51007,5,99,5,5,9.261280409162415,0.1185419205300977,0.23789088807215464,0.8068034710057826,0.6976153151257991,0.1964216061743791,9.772527400570349,False,False,0.0,0.0
NYU_51027,5,104,5,5,9.540675593567888,0.11115587984466316,0.2327904174816039,0.8363065319535942,0.7267147327385439,0.1885064424218198,11.372027929682508,False,False,0.0,0.0
NYU_51030,5,125,5,5,10.845570896768502,0.08230816325693015,0.18303278398654754,0.8925956675181591,0.8251562061078818,0.1579669792171643,9.95233663076658,False,False,0.0,0.0
NYU_51046,5,125,5,5,9.669341258224115,0.10791103902513265,0.2159353759660949,0.823655706164687,0.7214559206215861,0.17076715020143962,9.589865640691196,False,False,0.0,0.0
NYU_51051,5,105,5,5,9.583288878846755,0.11007054380416187,0.21896941570164294,0.8232506832282521,0.7193403000087331,0.17344473293237392,9.406858914139038,False,False,0.0,0.0
NYU_51058,5,99,5,5,9.917481673294814,0.10191822060049645,0.21190365808559813,0.8538342408638588,0.765762369310793,0.17676126094114347,9.132430652511497,False,False,0.0,0.0
NYU_51061,5,124,5,5,9.505266773688213,0.11206585854262839,0.21495228169077174,0.8175489718974689,0.7074749577918493,0.1591429541403938,9.227471291884676,False,False,0.0,0.0
NYU_51062,5,126,5,5,9.667880342199808,0.10794734514719789,0.2107958349241159,0.8423580973639395,0.738492751993597,0.15952477831419576,8.996603385198364,False,False,0.0,0.0
NYU_51065,5,129,5,5,8.196699806388366,0.15147118371987903,0.2779883459262878,0.7705777710108953,0.6007281065146456,0.2013516224563277,10.214946086749265,False,False,0.0,0.0
NYU_51075,5,127,5,5,10.45604441878062,0.09003172227461516,0.198026889184713,0.8998108971730503,0.8202949943936069,0.17224643659826722,10.060653740463474,False,False,0.0,0.0
NYU_51080,5,129,5,5,10.370139980516079,0.09183029975352874,0.20106866928443032,0.8772855795222885,0.7967523453838385,0.17365421702307635,10.380375758767846,False,False,0.0,0.0
NYU_51089,5,102,5,5,9.372162971261284,0.11555365924773817,0.22671450186900022,0.823994420640382,0.718575653818239,0.18159707695517402,10.472366052936911,False,False,0.0,0.0
NYU_51109,5,130,5,5,8.86428638925694,0.12988869728382332,0.2584635325168332,0.8071663687576104,0.6666846081693916,0.19809415913647932,11.634666234845465,False,False,0.0,0.0
NYU_51111,5,127,5,5,9.87233167788088,0.10298330662822583,0.22450019095906126,0.8461153378805587,0.7477642613216148,0.1901178057407108,11.152428938039291,False,False,0.0,0.0
NYU_51153,5,130,5,5,10.290337861016713,0.0935332906743755,0.2083216229156174,0.8668106282399893,0.7788566338376951,0.17817648201157776,10.802491078654846,False,False,0.0,0.0
NYU_51159,5,126,5,5,10.35367556655702,0.0921790957153804,0.20640335187264133,0.884537639460841,0.7986947583759015,0.17713829387756538,10.870742857886276,False,False,0.0,0.0
OHSU_50148,6,82,5,6,10.755750830494259,0.08402817223432278,0.19917019611002185,0.8783543738685445,0.8060338434436958,0.17342041266342245,11.347218312733704,False,False,0.0,0.0
OHSU_50158,6,96,5,4,11.698121174150565,0.06763755227363329,0.17052892031358996,0.862623282443358,0.815206351379182,0.15499586658768666,10.398681349152081,False,False,0.0,0.0
