subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,13,13,28.307163039760148,0.00147667083022698,0.027530467340551642,0.9965060569788683,0.9918532470163379,0.018309761883512184,0.034366066185552824,False,False,0.0,0.0
CMU_50661,0,58,15,15,29.39651482731601,0.0011490753738616318,0.022080054711688953,0.9966865288861426,0.9922755031103635,0.011932879877572085,0.028288870939247687,False,False,0.0,0.0
Caltech_51463,1,124,5,5,18.216588728141968,0.01507790932314565,0.08080829551772573,0.9966894221239907,0.9943418297014853,0.08071826889061973,0.21829857113977474,False,False,0.0,0.0
Caltech_51470,1,150,13,13,30.276947593709146,0.0009382211969979195,0.019452020395867853,0.9979465752866351,0.9954458631655858,0.009746903276941443,0.10369562873278992,False,False,0.0,0.0
Caltech_51476,1,150,13,13,30.08649544847043,0.000980280706600169,0.018106110424644696,0.9977767131723138,0.9954829014285166,0.007463688584328422,0.13770980205229694,False,False,0.0,0.0
Caltech_51484,1,151,13,13,30.83363847168597,0.00082534619382764,0.01769120669701619,0.9980337119133726,0.9961198785926768,0.008678841753813176,0.06841963474311161,False,False,0.0,0.0
KKI_50786,2,124,15,3,23.151005942195667,0.004840602332991061,0.04129520045067547,0.9910171713100678,0.9833593122558433,0.0389505991224004,0.0843343352194417,False,False,0.0,0.0
KKI_50800,2,125,3,3,24.466748570458016,0.0035754041751625077,0.036053396803996024,0.9934350276817192,0.9865171686135396,0.028970835680641543,0.06287892287091089,False,False,0.0,0.0
KKI_50810,2,124,15,3,24.58055991465237,0.0034829240850309494,0.03400650817906334,0.992018562009551,0.9845208574056372,0.029968759975363163,0.05083011002369148,False,False,0.0,0.0
KKI_50814,2,127,3,3,20.636867153539526,0.008636012944904922,0.06090484929315636,0.9950440605505072,0.9902569695893595,0.059178064446616926,0.12231944468035257,False,False,0.0,0.0
KKI_50823,2,105,15,3,23.187021966105625,0.00480062523140596,0.04193367393435873,0.9907466540350914,0.9827649953067088,0.039746817768623065,0.07235637300589814,False,False,0.0,0.0
Leuven_50690,3,130,3,3,27.181751309631757,0.0019134841493885753,0.026416691183686905,0.9970419691863788,0.9947098363285631,0.022218396460022174,0.022332259710776875,False,False,0.0,0.0
Leuven_50697,3,124,3,3,24.945815782319002,0.0032019785758523986,0.03436358855097228,0.9958589586888689,0.9927005533770273,0.03122031151010947,0.027373230193799922,False,False,0.0,0.0
Leuven_50703,3,127,3,3,24.851627829968763,0.003272180234738384,0.03528970773813067,0.995667122171341,0.9924678815418341,0.03243343762768869,0.030304412355687656,False,False,0.0,0.0
Leuven_50711,3,151,3,3,30.106734771977926,0.0009757229559368426,0.018791470674653088,0.9981288795262908,0.9967814549280508,0.014264596338005309,0.027766325059802095,False,False,0.0,0.0
Leuven_50732,3,151,3,3,28.850218538975266,0.001303101204152164,0.021876695596098828,0.9978322741490316,0.996265928458963,0.016820396389540904,0.018590678698821285,False,False,0.0,0.0
Leuven_50736,3,130,3,3,25.991684511521576,0.002516700577936402,0.02905108998512636,0.9967860499336427,0.9947702240162478,0.025850721508812364,0.020681087093045832,False,False,0.0,0.0
Leuven_50745,3,150,3,3,28.504319803954104,0.0014111332321470973,0.021829309117076676,0.9978556358121786,0.9964742781753724,0.017957469594232365,0.017864361161413215,False,False,0.0,0.0
MaxMun_51332,4,150,13,13,28.66483653683023,0.0013599293484106846,0.02436467897049191,0.9970319195988413,0.9923034106533699,0.01500992591817088,0.04536114177674917,False,False,0.0,0.0
MaxMun_51347,4,130,5,5,29.228653349398456,0.0011943583910270894,0.022516683626408796,0.9971254181829665,0.9935890183645323,0.007972911070853517,0.04973673476293978,False,False,0.0,0.0
MaxMun_51357,4,129,5,5,28.985876523427624,0.0012630261653276463,0.02270935715733327,0.9969496515988767,0.9930633556108929,0.011693339325739599,0.03100987517025266,False,False,0.0,0.0
MaxMun_51361,4,129,13,13,29.682009497477363,0.0010759672441992682,0.022053136570624077,0.9978727278125349,0.9951157656195796,0.010647805206720762,0.10786434787814271,False,False,0.0,0.0
MaxMun_51370,4,130,15,15,27.18537144316094,0.001911889797599371,0.02892731262853901,0.9965960229012256,0.9918976086207016,0.019853290079211244,0.028001510042271423,False,False,0.0,0.0
NYU_50953,5,104,15,15,162.2428132721258,5.966486643944216e-17,1.184077724758481e-09,1.0,0.999999999999999,1.184077724758481e-09,0.0,False,True,0.0,0.0
NYU_50967,5,105,15,15,162.42548502205904,5.720730617040343e-17,1.107437697100977e-09,0.9999999999999998,0.9999999999999986,1.107437697100977e-09,0.0,False,True,0.0,0.0
NYU_50973,5,124,15,15,161.69714652669091,6.765273325543778e-17,1.2379928193695378e-09,0.9999999999999998,0.999999999999998,1.2379928193695378e-09,0.0,False,True,0.0,0.0
NYU_51007,5,99,15,15,160.8232858630215,8.273159813065068e-17,1.7765038329287108e-09,0.9999999999999998,0.9999999999999977,1.7765038329287108e-09,0.0,False,True,0.0,0.0
NYU_51027,5,104,15,15,160.43828446425766,9.040065008689927e-17,1.5818955034774262e-09,1.0,1.0,1.5818955034774262e-09,0.0,False,True,0.0,0.0
NYU_51030,5,125,13,13,160.21353819877632,9.520202367477608e-17,1.8074999275086157e-09,0.9999999999999999,0.9999999999999988,1.8074999275086157e-09,4.817732694200984e-08,False,True,0.0,0.0
NYU_51046,5,125,3,3,157.89204854668608,1.6247821728434451e-16,3.026215722456982e-09,0.9999999999999999,0.9999999999999969,3.026215722456982e-09,0.0,False,True,0.0,0.0
NYU_51051,5,105,15,15,160.37867669332283,9.164997074454016e-17,1.7155059595097555e-09,1.0,1.0,1.7155059595097555e-09,0.0,False,True,0.0,0.0
NYU_51058,5,99,15,15,161.68808266048012,6.77940741366173e-17,1.3329235493131364e-09,0.9999999999999999,0.9999999999999993,1.3329235493131364e-09,0.0,False,True,0.0,0.0
NYU_51061,5,124,13,13,inf,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.0,0.0
NYU_51062,5,126,13,13,160.3388103518387,9.249515080722234e-17,1.6680132830515504e-09,0.9999999999999999,0.9999999999999998,1.6680132830515504e-09,0.0,False,True,0.0,0.0
