subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,0,14,20.445655842862372,0.009024734116018462,0.06417180713939974,0.9768694467842083,0.9421504819123262,0.013439068107669701,0.028633940725283056,False,False,0.0,0.0
CMU_50661,0,58,13,5,20.394688327678487,0.009131269636847742,0.0626851825695619,0.9738222893065822,0.9370304302813702,0.01197123058863759,0.03699657505412264,False,False,0.0,0.0
Caltech_51463,1,124,13,13,21.625577851610114,0.006877683950245382,0.04895125177483683,0.9606944418514997,0.9330954970793526,0.00750638727833907,0.02346570358330329,False,False,0.0,0.0
Caltech_51470,1,150,1,1,21.010315048958343,0.007924438423766247,0.05689714915080696,0.982626879934668,0.961124617067967,0.011915857167416666,0.023854648945317282,False,False,0.0,0.0
Caltech_51476,1,150,1,1,21.02364697769973,0.00790014936186995,0.054479449147952975,0.9815366757057534,0.962516287923763,0.009934367555450165,0.02516443523064058,False,False,0.0,0.0
Caltech_51484,1,151,1,5,20.94359623081182,0.008047118133585492,0.05450168136480483,0.9801225739125679,0.9605031021115208,0.010022195287099694,0.02082400685690618,False,False,0.0,0.0
KKI_50786,2,124,11,11,23.422349092820834,0.004547420242864592,0.03889477932777563,0.9679924234032308,0.9402765297480409,0.004101664845776117,0.00823397701718439,False,False,0.0,0.0
KKI_50800,2,125,11,11,21.86713499607483,0.006505587168921591,0.0478429349602181,0.9704552941531188,0.9373327531727464,0.002656607099427862,0.015432692881038422,False,False,0.0,0.0
KKI_50810,2,124,11,11,22.43679460790245,0.005705852480799145,0.044780550626401044,0.9655094890831295,0.9321963539751607,0.004020747416748044,0.012403840077940497,False,False,0.0,0.0
KKI_50814,2,127,2,11,21.8123605381098,0.006588157091813378,0.04714972372530184,0.9709005866595216,0.9419009251760138,0.007598145814672816,0.015175252303515673,False,False,0.0,0.0
KKI_50823,2,105,11,11,21.890955261599263,0.006470002877814744,0.04732698437926027,0.9556912183433346,0.9170908212718597,0.005778402598543639,0.03155645799386929,False,False,0.0,0.0
Leuven_50690,3,130,3,11,21.209558937507143,0.007569097616560507,0.05010102902180642,0.97441510519957,0.954021669861064,0.009601760230356374,0.024242068990402155,False,False,0.0,0.0
Leuven_50697,3,124,11,11,20.54422474107283,0.008822212733696988,0.05451887871956092,0.9615488557739663,0.9317519561960951,0.007370022502326946,0.014234787493353458,False,False,0.0,0.0
Leuven_50703,3,127,11,11,20.695097904356242,0.008520993020230372,0.05274999834939886,0.9629146172554588,0.9348754656198939,0.010436434476233766,0.020807491144913596,False,False,0.0,0.0
Leuven_50711,3,151,3,3,21.738200166881892,0.006701622851465479,0.04566344202235567,0.9795307376788255,0.9645841004687743,0.00828745865019781,0.021207162942662183,False,False,0.0,0.0
Leuven_50732,3,151,3,3,21.802274601839603,0.006603475027753444,0.045422969710593106,0.9799182927538803,0.965194951486153,0.010995065686962947,0.014951563074431327,False,False,0.0,0.0
Leuven_50736,3,130,11,3,21.403126680572893,0.007239145938669389,0.04548249832404357,0.9712010710674296,0.9529462924592466,0.004889300253035651,0.009050184972067575,False,False,0.0,0.0
Leuven_50745,3,150,11,3,22.139547830453896,0.006110056369870244,0.041873171468050675,0.979797948549156,0.9666254954899703,0.008935858024965413,0.016765351744655814,False,False,0.0,0.0
MaxMun_51332,4,150,13,0,20.641790220164147,0.008626228897315047,0.06123008319573067,0.9810503094456533,0.9496103508963094,0.022109138494634167,0.11034014670440329,False,False,0.0,0.0
MaxMun_51347,4,130,0,12,20.21702664914628,0.009512558379300786,0.06302244536903112,0.9765733358465275,0.9475512125785558,0.006961169275771173,0.011644132001892375,False,False,0.0,0.0
MaxMun_51357,4,129,4,4,20.36382705502474,0.009196388178344513,0.06164166390612405,0.9775839437940499,0.9479268899502934,0.010614340736645828,0.025918492232458158,False,False,0.0,0.0
MaxMun_51361,4,129,0,5,20.297042487031632,0.00933890056449788,0.06346783326462929,0.9816173039786066,0.9557907003270709,0.007748427086160803,0.01795536114227747,False,False,0.0,0.0
MaxMun_51370,4,130,5,5,20.179056353508006,0.009596091152618684,0.06471898532454604,0.9725724369579185,0.9320762296597769,0.004901912893799515,0.01417805793824841,False,False,0.0,0.0
NYU_50953,5,104,5,5,inf,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.0,0.0
NYU_50967,5,105,5,5,inf,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.0,0.0
NYU_50973,5,124,5,5,inf,0.0,0.0,0.9999999999999999,1.0,0.0,0.0,True,True,0.0,0.0
NYU_51007,5,99,5,5,inf,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.0,0.0
NYU_51027,5,104,5,5,inf,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.0,0.0
