subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,0,15,24.323740643446957,0.0036950977836918432,0.04542412054668165,0.9912720582475422,0.9844240330604836,0.04542412054668166,0.07451728798119896,False,False,0.0,0.0
CMU_50661,0,58,0,15,23.973842818225883,0.004005121709629646,0.04745360111194919,0.9883429281084899,0.9803564051563973,0.04745360111194919,0.08204495694362517,False,False,0.0,0.0
Caltech_51463,1,124,1,1,21.479988091806582,0.007112154637770459,0.0588810140659165,0.996705352232913,0.9946005681612581,0.0588810140659165,0.07695051613342363,False,False,0.0,0.0
Caltech_51470,1,150,1,1,18.694157928231736,0.013507787106095223,0.08364918770470137,0.9820233599988205,0.9696696062367622,0.08364918770470137,0.1322017867266439,False,False,0.0,0.0
Caltech_51476,1,150,1,1,18.548206169881936,0.013969452426661247,0.08387526853997482,0.9814529973937224,0.9710107024870563,0.08387526853997482,0.12215593049951477,False,False,0.0,0.0
Caltech_51484,1,151,1,1,23.289993158075898,0.004688141207197208,0.048579742764253926,0.9961202374483635,0.993046048725453,0.048579742764253926,0.05853124276522454,False,False,0.0,0.0
KKI_50786,2,124,2,15,18.88681175999356,0.012921675307449355,0.07207832266946834,0.9886519608090681,0.9819525626029638,0.07207832266946834,0.2146048787949778,False,False,0.0,0.0
KKI_50800,2,125,2,15,22.168470580147762,0.006069500366560703,0.05203698191010922,0.9869957281019414,0.98019723637427,0.05203698191010922,0.1384441065849205,False,False,0.0,0.0
KKI_50810,2,124,2,15,19.741632643244106,0.010612965090001203,0.06770774607344018,0.9869027427707224,0.9790601661335281,0.06770774607344018,0.19517267988629255,False,False,0.0,0.0
KKI_50814,2,127,2,1,23.618234896701004,0.0043468685807784594,0.043549168567598426,0.9890672864083473,0.9840426777081112,0.043549168567598426,0.11097200231679363,False,False,0.0,0.0
KKI_50823,2,105,2,15,18.72339017140602,0.013417171865823198,0.07251599251248515,0.986996125154373,0.977672589592815,0.07251599251248517,0.21005755495443704,False,False,0.0,0.0
Leuven_50690,3,130,3,3,27.13122458877162,0.0019358760241750008,0.027479595651346014,0.9952014456323889,0.9931786295443671,0.027479595651346014,0.03991732732451308,False,False,0.0,0.0
Leuven_50697,3,124,3,3,29.1140787016559,0.0012262870156701277,0.02426850518236097,0.9970962530741171,0.9958988693313802,0.02426850518236097,0.040749651852587984,False,False,0.0,0.0
Leuven_50703,3,127,3,3,30.034894184713373,0.000991997508835138,0.02214399400035982,0.998089504791144,0.9971035996174433,0.02214399400035982,0.04154831661384019,False,False,0.0,0.0
Leuven_50711,3,151,3,3,25.279889388504245,0.0029649069024826227,0.03563889879422871,0.9964859773198609,0.9946339530414049,0.03563889879422871,0.057747039818307956,False,False,0.0,0.0
Leuven_50732,3,151,3,3,24.999979692473687,0.003162292446952375,0.03880827511577688,0.9971271599019447,0.9957985287977016,0.03880827511577688,0.03792745196212389,False,False,0.0,0.0
Leuven_50736,3,130,3,3,31.386065888844104,0.0007267640076505071,0.015058523470310854,0.9975803155616577,0.9967772765588786,0.015058523470310854,0.018533191612805148,False,False,0.0,0.0
