subject_id,site_id,slice_idx,raw_prediction,harmonized_prediction,psnr,mse,mae,pixel_cosine_similarity,cross_correlation,subject_wasserstein_raw_harm,subject_kl_raw_harm,exact_identity,near_identity,output_below_zero_fraction,output_above_one_fraction
CMU_50648,0,99,3,1,5.255344265645181,0.2981711178031044,0.44794948554776765,0.875424485199716,0.6328736091724073,0.4478250879600809,11.253763553337352,False,False,0.0,0.0
CMU_50661,0,58,3,0,5.585344930631196,0.27635384213533326,0.4227343998905996,0.8903292727991201,0.703508815439113,0.4227048505372816,10.60308135685289,False,False,0.0,0.0
Caltech_51463,1,124,3,1,4.703256119667923,0.33859020319601024,0.4417580896996173,0.80723336994773,0.635933457687476,0.4417194270155834,9.052312115356095,False,False,0.0,0.0
Caltech_51470,1,150,14,1,6.957495590047276,0.20148858224014657,0.3293406099374966,0.8996059341789461,0.7561562417680275,0.32932409067802165,9.603368126894273,False,False,0.0,0.0
Caltech_51476,1,150,14,1,7.632684935438854,0.17247712583022085,0.2887674261045754,0.9065839414773078,0.7980110898588165,0.28875654419420527,8.568595092303546,False,False,0.0,0.0
Caltech_51484,1,151,14,15,5.9873756969210925,0.25191987393947357,0.36699813575305756,0.8517839846197396,0.6722171252693977,0.3669799538470856,9.452027362337141,False,False,0.0,0.0
KKI_50786,2,124,3,2,5.150618431287773,0.3054486126272586,0.41559573605939004,0.8800959752014434,0.7615869713953853,0.415581644682546,8.604561868161515,False,False,0.0,0.0
KKI_50800,2,125,3,2,5.582766427793229,0.2765179682697521,0.407440239283637,0.9009911216748712,0.7756596128846855,0.40742608350979315,9.335022035669114,False,False,0.0,0.0
KKI_50810,2,124,3,2,5.252548361750707,0.2983631364052768,0.41700985369604593,0.889345347449851,0.7680013825360641,0.41700463082537664,8.922839519519739,False,False,0.0,0.0
KKI_50814,2,127,3,2,5.926155773591439,0.25549618669993845,0.3790709187097121,0.8972597371570523,0.7833057627984006,0.37906031827619274,8.792447353580554,False,False,0.0,0.0
KKI_50823,2,105,3,2,4.921494830430204,0.3219960298475979,0.432815334436103,0.8640668914723802,0.7270277041924059,0.43278438523271445,8.888078027637848,False,False,0.0,0.0
Leuven_50690,3,130,3,3,6.74674805204567,0.2115072189170673,0.31855622051977006,0.8741669091185899,0.7607289237106596,0.3185438426149462,7.880125053061912,False,False,0.0,0.0
Leuven_50697,3,124,3,3,6.0959272087826974,0.2457012008771686,0.3537597265036662,0.8645186856038707,0.7447792817720681,0.35374366479206104,8.076522001196032,False,False,0.0,0.0
Leuven_50703,3,127,3,2,5.955117871245403,0.2537980102073332,0.3595720060804275,0.8529934819225055,0.7259663026819573,0.35955068678545454,8.142021612576661,False,False,0.0,0.0
Leuven_50711,3,151,3,2,6.7989654294739275,0.2089793899480041,0.3072612007517569,0.8576239057643225,0.738222237471289,0.30723235763882056,7.6915699249995315,False,False,0.0,0.0
Leuven_50732,3,151,3,3,6.878343979345031,0.20519444624543368,0.30310684440936175,0.8592282630036319,0.7411349537321171,0.30307665233474534,7.627575365812792,False,False,0.0,0.0
Leuven_50736,3,130,3,1,6.94338446264746,0.2021443251294788,0.2966065577128085,0.8627613349517594,0.7641186488673167,0.2965887028670075,7.0902161882822305,False,False,0.0,0.0
Leuven_50745,3,150,3,3,7.459747968623333,0.17948377824989445,0.2715903285346814,0.8712000567402449,0.7770705062149188,0.2715861987465291,6.96020362123119,False,False,0.0,0.0
